Downstream Node Id,Downstream Node Xml Id,Link Segment Id,Link Segment Xml Id,Mode Id,Mode Xml Id,Upstream Node Id,Upstream Node Xml Id,Capacity per Lane,Downstream Node Location,Length,Number of Lanes,Upstream Node Location,Calculated Speed,Cost,Flow
8,9,0,1,0,1,11,12,1500.0000000,Not Specified,2.9000000,1,Not Specified,100.0000000,0.0290000,0.6000000
11,12,1,2,0,1,8,9,1500.0000000,Not Specified,2.9000000,1,Not Specified,100.0000000,0.0290000,0.6000000
10,11,2,3,0,1,11,12,1500.0000000,Not Specified,3.0000000,1,Not Specified,99.4679928,0.0301605,482.4000000
11,12,3,4,0,1,10,11,1500.0000000,Not Specified,3.0000000,1,Not Specified,99.4679928,0.0301605,482.4000000
15,16,4,5,0,1,11,12,1500.0000000,Not Specified,1.0000000,1,Not Specified,99.4653552,0.0100538,483.0000000
11,12,5,6,0,1,15,16,1500.0000000,Not Specified,1.0000000,1,Not Specified,99.4653552,0.0100538,483.0000000
12,13,8,9,0,1,8,9,1500.0000000,Not Specified,1.0000000,1,Not Specified,100.0000000,0.0100000,0.6000000
8,9,9,10,0,1,12,13,1500.0000000,Not Specified,1.0000000,1,Not Specified,100.0000000,0.0100000,0.6000000
10,11,10,11,0,1,9,10,1500.0000000,Not Specified,3.0000000,1,Not Specified,99.9999991,0.0300000,17.6000000
9,10,11,12,0,1,10,11,1500.0000000,Not Specified,3.0000000,1,Not Specified,99.9999991,0.0300000,17.6000000
13,14,12,13,0,1,9,10,1500.0000000,Not Specified,1.0000000,1,Not Specified,99.9999991,0.0100000,17.6000000
9,10,13,14,0,1,13,14,1500.0000000,Not Specified,1.0000000,1,Not Specified,99.9999991,0.0100000,17.6000000
14,15,14,15,0,1,10,11,1500.0000000,Not Specified,1.0000000,1,Not Specified,99.3865031,0.0100617,500.0000000
10,11,15,16,0,1,14,15,1500.0000000,Not Specified,1.0000000,1,Not Specified,99.3865031,0.0100617,500.0000000
4,5,16,17,0,1,0,1,1500.0000000,Not Specified,1.0000000,1,Not Specified,93.9295781,0.0106463,899.4000000
0,1,17,18,0,1,4,5,1500.0000000,Not Specified,1.0000000,1,Not Specified,93.9295781,0.0106463,899.4000000
3,4,18,19,0,1,0,1,1500.0000000,Not Specified,0.9000000,1,Not Specified,87.8665119,0.0102428,1087.4000000
0,1,19,20,0,1,3,4,1500.0000000,Not Specified,0.9000000,1,Not Specified,87.8665119,0.0102428,1087.4000000
1,2,20,21,0,1,0,1,1500.0000000,Not Specified,0.9000000,1,Not Specified,90.6131820,0.0099323,1012.0000000
0,1,21,22,0,1,1,2,1500.0000000,Not Specified,0.9000000,1,Not Specified,90.6131820,0.0099323,1012.0000000
5,6,22,23,0,1,1,2,1500.0000000,Not Specified,1.0000000,1,Not Specified,61.7567660,0.0161926,1582.4000000
1,2,23,24,0,1,5,6,1500.0000000,Not Specified,1.0000000,1,Not Specified,61.7567660,0.0161926,1582.4000000
2,3,24,25,0,1,1,2,1500.0000000,Not Specified,1.0000000,1,Not Specified,91.1933155,0.0109657,994.4000000
1,2,25,26,0,1,2,3,1500.0000000,Not Specified,1.0000000,1,Not Specified,91.1933155,0.0109657,994.4000000
6,7,26,27,0,1,2,3,1500.0000000,Not Specified,1.0000000,1,Not Specified,43.7230914,0.0228712,1900.0000000
2,3,27,28,0,1,6,7,1500.0000000,Not Specified,1.0000000,1,Not Specified,43.7230914,0.0228712,1900.0000000
3,4,28,29,0,1,2,3,1500.0000000,Not Specified,1.0000000,1,Not Specified,93.7709887,0.0106643,905.6000000
2,3,29,30,0,1,3,4,1500.0000000,Not Specified,1.0000000,1,Not Specified,93.7709887,0.0106643,905.6000000
7,8,30,31,0,1,3,4,1500.0000000,Not Specified,1.0000000,1,Not Specified,59.6936660,0.0167522,1617.0000000
3,4,31,32,0,1,7,8,1500.0000000,Not Specified,1.0000000,1,Not Specified,59.6936660,0.0167522,1617.0000000
18,23,32,33,0,1,15,16,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9998639,0.0200001,483.0000000
15,16,33,34,0,1,18,23,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9998639,0.0200001,483.0000000
7,8,34,35,0,1,18,23,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9829143,0.0200068,1617.0000000
18,23,35,36,0,1,7,8,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9829143,0.0200068,1617.0000000
16,21,36,37,0,1,12,13,1000.0000000,Not Specified,1.0000000,10,Not Specified,50.0000000,0.0200000,0.6000000
12,13,37,38,0,1,16,21,1000.0000000,Not Specified,1.0000000,10,Not Specified,50.0000000,0.0200000,0.6000000
4,5,38,39,0,1,16,21,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9983642,0.0200007,899.4000000
16,21,39,40,0,1,4,5,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9983642,0.0200007,899.4000000
17,22,40,41,0,1,13,14,1000.0000000,Not Specified,1.0000000,10,Not Specified,50.0000000,0.0200000,17.6000000
13,14,41,42,0,1,17,22,1000.0000000,Not Specified,1.0000000,10,Not Specified,50.0000000,0.0200000,17.6000000
5,6,42,43,0,1,17,22,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9843300,0.0200063,1582.4000000
17,22,43,44,0,1,5,6,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9843300,0.0200063,1582.4000000
19,24,44,45,0,1,14,15,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9998438,0.0200001,500.0000000
14,15,45,46,0,1,19,24,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9998438,0.0200001,500.0000000
6,7,46,47,0,1,19,24,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9674410,0.0200130,1900.0000000
19,24,47,48,0,1,6,7,1000.0000000,Not Specified,1.0000000,10,Not Specified,49.9674410,0.0200130,1900.0000000
