Downstream Node Xml Id,Link Segment Xml Id,Mode Xml Id,Upstream Node Xml Id,Calculated Speed,Cost,Flow
9,1,1,12,100.0000000,0.0290000,0.6000000
12,2,1,9,100.0000000,0.0290000,0.6000000
11,3,1,12,99.4679928,0.0301605,482.4000000
12,4,1,11,99.4679928,0.0301605,482.4000000
16,5,1,12,99.4653552,0.0100538,483.0000000
12,6,1,16,99.4653552,0.0100538,483.0000000
13,9,1,9,100.0000000,0.0100000,0.6000000
9,10,1,13,100.0000000,0.0100000,0.6000000
11,11,1,10,99.9999991,0.0300000,17.6000000
10,12,1,11,99.9999991,0.0300000,17.6000000
14,13,1,10,99.9999991,0.0100000,17.6000000
10,14,1,14,99.9999991,0.0100000,17.6000000
15,15,1,11,99.3865031,0.0100617,500.0000000
11,16,1,15,99.3865031,0.0100617,500.0000000
5,17,1,1,93.9295781,0.0106463,899.4000000
1,18,1,5,93.9295781,0.0106463,899.4000000
4,19,1,1,87.8665119,0.0102428,1087.4000000
1,20,1,4,87.8665119,0.0102428,1087.4000000
2,21,1,1,90.6131820,0.0099323,1012.0000000
1,22,1,2,90.6131820,0.0099323,1012.0000000
6,23,1,2,61.7567660,0.0161926,1582.4000000
2,24,1,6,61.7567660,0.0161926,1582.4000000
3,25,1,2,91.1933155,0.0109657,994.4000000
2,26,1,3,91.1933155,0.0109657,994.4000000
7,27,1,3,43.7230914,0.0228712,1900.0000000
3,28,1,7,43.7230914,0.0228712,1900.0000000
4,29,1,3,93.7709887,0.0106643,905.6000000
3,30,1,4,93.7709887,0.0106643,905.6000000
8,31,1,4,59.6936660,0.0167522,1617.0000000
4,32,1,8,59.6936660,0.0167522,1617.0000000
23,33,1,16,49.9998639,0.0200001,483.0000000
16,34,1,23,49.9998639,0.0200001,483.0000000
8,35,1,23,49.9829143,0.0200068,1617.0000000
23,36,1,8,49.9829143,0.0200068,1617.0000000
21,37,1,13,50.0000000,0.0200000,0.6000000
13,38,1,21,50.0000000,0.0200000,0.6000000
5,39,1,21,49.9983642,0.0200007,899.4000000
21,40,1,5,49.9983642,0.0200007,899.4000000
22,41,1,14,50.0000000,0.0200000,17.6000000
14,42,1,22,50.0000000,0.0200000,17.6000000
6,43,1,22,49.9843300,0.0200063,1582.4000000
22,44,1,6,49.9843300,0.0200063,1582.4000000
24,45,1,15,49.9998438,0.0200001,500.0000000
15,46,1,24,49.9998438,0.0200001,500.0000000
7,47,1,24,49.9674410,0.0200130,1900.0000000
24,48,1,7,49.9674410,0.0200130,1900.0000000
